companyName,location,timePost,website,jobType,jobCount,Knowledge,Platform,Framework,ProgrammingLanguage,Tool,date,month,year
Emory University,"Atlanta, GA 30322",2024-01-14,Indeed,Business Analyst,1,,,,,,14,1,2024
Enterprise Products,"Houston, TX",2024-01-14,Indeed,Database Administrator,1,,,,,,14,1,2024
EntreVation,"Washington, DC",2024-01-14,Indeed,Business Analyst,1,,,,,,14,1,2024
Environmental Solutions (Asia) Pte Ltd,Singapore,2024-01-11,Glint,Data Engineer,1,,,,,,11,1,2024
Environmental Solutions (Asia) Pte Ltd,Singapore,2024-01-11,Glint,Devops Engineer,1,,,,,,11,1,2024
Environmental Solutions (Asia) Pte Ltd,Singapore,2024-01-11,Glint,Network Engineer,1,,,,,,11,1,2024
Epic Games,"Cary, NC",2024-01-14,Indeed,Database Administrator,1,,,,,,14,1,2024
Epic Games,"Cary, NC",2024-01-14,Indeed,Game Development,1,"AGILE,GAME DEVELOPMENT,FACTORS",,"UNREAL ENGINE,UNREAL",,"UNREAL ENGINE,GAME DEVELOPMENT,VR,AGILE,PROJECT MANAGEMENT,BASE",14,1,2024
Epic Games,"Cary, NC",2024-01-14,Indeed,UI Designer,1,"GAME DEVELOPMENT,UI,UI DESIGN,FACTORS,MULTIDISCIPLINARY",UNITY,"UNITY,UNREAL ENGINE,UNREAL",C++,"UNITY,UNREAL ENGINE,GAME DEVELOPMENT,VR,BASE",14,1,2024
Epic Games,"San Diego, CA",2024-01-14,Indeed,Game Development,3,"BUSINESS,FACTORS,HEALTH,INSURANCE,BUSINESS,FACTORS,HEALTH,INSURANCE,",",,","UNREAL,UNREAL,",",,","BASE,BASE,",14,1,2024
EpicNgage Media Pte Ltd,Singapore,2024-01-08,Glint,Backend Developer,1,,,,,,8,1,2024
EpicNgage Media Pte Ltd,Singapore,2024-01-08,Glint,Frontend Developer,1,,,,,,8,1,2024
EpicNgage Media Pte Ltd,Singapore,2024-01-08,Glint,Mobile Developer,1,,,,,,8,1,2024
Ethos Organisation,Singapore,2024-01-11,Glint,Business Analyst,1,,,,,,11,1,2024
Ethos Organisation,Singapore,2024-01-11,Glint,Game Development,1,,,,,,11,1,2024
Ethos Organisation,Singapore,2024-01-11,Glint,Web Development,1,,,,,,11,1,2024
Everi,"Remote in Las Vegas, NV 89113",2024-01-14,Indeed,Mobile Developer,1,,,,,,14,1,2024
Eyewa,Remote,2024-01-14,Indeed,Mobile Developer,1,"API,APIS,PROGRAMMING,MOBILE APP,MOBILE APPS,MOBILE APPLICATIONS,COMPUTER SCIENCE,BUSINESS,TROUBLESHOOTING,PERFORMANCE,APP DEVELOPMENT,SOFTWARE","IOS,FIREBASE,API","FLUTTER,JIRA,GIT,FIREBASE","DART,FLUTTER,FIREBASE","GIT,JIRA,APP DEVELOPMENT,API,IOS,APIS,MONITOR,PERFORMANCE",14,1,2024
FIS Global,"Cincinnati, OH 45249",2024-01-14,Indeed,UI Designer,1,,,,,,14,1,2024
FIS Global,"Jacksonville, FL 32204 (Mixon Town area)",2024-01-14,Indeed,Database Administrator,1,"DATABASE,DEVOPS,BACKUP,RECOVERY,SECURITY,COLOR,DATABASES,LOAD BALANCING,API,JSON,PROGRAMMING,CONTINUOUS INTEGRATION,FUNCTIONS,BUSINESS,SQL,STACKS,INSURANCE,INTEGRATION,BUSINESS REQUIREMENTS,PERFORMANCE,WAS,DOMAINS,DATABASE ADMINISTRATION,DOCUMENT,DATABASE SYSTEMS,DIAGNOSTIC,LOAD,MANAGEMENT SYSTEMS,SOFTWARE,FINANCE","AWS,AZURE,S3,NODEJS,EC2,API,VPC,CLOUD,CLOUDTRAIL","SQL SERVER,ORACLE DATABASE,REQUESTS,DATABASE,DATABASE MANAGEMENT SYSTEMS,ORACLE DATABASES","SQL,PYTHON,JAVASCRIPT,JSON,AWS,AZURE,ANSIBLE","ORACLE DATABASE,SQL SERVER,ORACLE,AUTO SCALING,DEVOPS,API,DATABASE,SECURITY,MONITORING,RECOVERY,BACKUP,SQL,DATABASE MANAGEMENT,DATABASES,DATABASE MANAGEMENT SYSTEMS,PERFORMANCE,DATABASE SYSTEMS,CLOUD",14,1,2024
FIS Global,"Little Rock, AR 72212 (River Mountain area)",2024-01-14,Indeed,Database Administrator,1,,,,,,14,1,2024
"FORT WAYNE METALS RESEARCH PRODUCTS, LLC","Remote in Fort Wayne, IN 46809",2024-01-14,Indeed,Database Administrator,1,,,,,,14,1,2024
FactoryFour,"Los Angeles, CA",2024-01-14,Indeed,Frontend Developer,1,,,,,,14,1,2024
Fairfax County Public Schools,"Fairfax County, VA",2024-01-14,Indeed,Web Development,1,"DATABASE,WEB DEVELOPMENT,WEB DESIGN,WEB APPLICATIONS,PHP,COMPUTER SCIENCE,INFORMATION SYSTEMS,FUNCTIONS,WEB TECHNOLOGY,WEB SERVERS,FREQUENCY",WEB DEVELOPMENT,DATABASE,"JAVA,PHP,HTML","GRADE,WEB DEVELOPMENT,DATABASE,WEB DESIGN",14,1,2024
Farm Credit Services of America,"Omaha, NE 68137",2024-01-14,Indeed,Mobile Developer,1,,,,,,14,1,2024
FedEx Services,"Memphis, TN",2024-01-14,Indeed,Software Engineer,1,"DATABASE,DOMAIN,CI/CD,CLOUD COMPUTING,COLOR,PDF,PROGRAMMING,COMPUTER SCIENCE,INFORMATION SYSTEMS,FUNCTIONS,BUSINESS,LISTS,SQL,AI,SOFTWARE DEVELOPMENT,ETHICAL,SOFTWARE",CLOUD,"JENKINS,SQL SERVER,DATABASE",SQL,"WORD,SQL SERVER,JENKINS,SOFTWARE DEVELOPMENT,AI,DATABASE,CLOUD COMPUTING,COMPUTING,SQL,CLOUD",14,1,2024
FlexIT Inc,"Atlanta, GA 30309 (Midtown area)",2024-01-14,Indeed,Mobile Developer,1,,,,,,14,1,2024
Florida State University,"Tallahassee, FL",2024-01-14,Indeed,Database Administrator,2,",DATABASE,SECURITY,DATABASES,PDF,PROGRAMMING,COMPUTER SCIENCE,OBJECTS,FUNCTIONS,COMPLIANCE,SQL,PERFORMANCE,DATABASE ADMINISTRATION,DATABASE SYSTEMS,SHELL SCRIPTING,SOFTWARE",",MYSQL",",MYSQL,SQL SERVER,ORACLE DATABASE,RMAN,REQUESTS,DATABASE,ORACLE DATABASES,OEM",",SQL,MYSQL",",ORACLE DATABASE,MYSQL,SQL SERVER,ORACLE,DATABASE,SECURITY,MONITORING,RAC,SQL,PROJECT MANAGEMENT,PERFORMANCE TUNING,MAINTENANCE,DATABASES,RMAN,PERFORMANCE,DATABASE PERFORMANCE,DATABASE SYSTEMS,COMPLIANCE,EVALUATION",14,1,2024
FoodLine,Singapore,2024-01-11,Glint,Business Analyst,1,,,,,,11,1,2024
FoodLine,Singapore,2024-01-11,Glint,Game Development,1,,,,,,11,1,2024
FoodLine,Singapore,2024-01-11,Glint,Web Development,1,,,,,,11,1,2024
Foster Farms,"Livingston, CA 95334",2024-01-14,Indeed,Database Administrator,2,"DATABASE,DATABASE DESIGN,SECURITY,SOLID,TEST CASES,DATABASES,PROGRAMMING,COMPUTER SCIENCE,INFORMATION SYSTEMS,FUNCTIONS,BUSINESS,COMPLIANCE,RELATIONAL DATABASES,SQL,SOFTWARE DEVELOPMENT,INTEGRATION,FUNCTIONAL,PERFORMANCE,DATABASE ADMINISTRATION,RELATIONAL,ANALYSIS,SOFTWARE,DATABASE,DATABASE DESIGN,SECURITY,SOLID,TEST CASES,DATABASES,PROGRAMMING,COMPUTER SCIENCE,INFORMATION SYSTEMS,FUNCTIONS,BUSINESS,COMPLIANCE,RELATIONAL DATABASES,SQL,SOFTWARE DEVELOPMENT,INTEGRATION,FUNCTIONAL,PERFORMANCE,DATABASE ADMINISTRATION,RELATIONAL,ANALYSIS,SOFTWARE",",","SQL SERVER,DATABASE,SAP,SQL SERVER,DATABASE,SAP","SQL,JAVA,C,C++,VISUAL BASIC,SQL,JAVA,C,C++,VISUAL BASIC","SQL SERVER,ORACLE,SOFTWARE DEVELOPMENT,SOFTWARE DEVELOPMENT LIFECYCLE,DATABASE,SECURITY,MONITORING,COMPUTING,SQL,RELATIONAL,SAP,SOLID,PROJECT MANAGEMENT,PERFORMANCE TUNING,RELATIONAL DATABASES,MAINTENANCE,DATABASE DESIGN,DATABASES,DATABASE INTEGRITY,MONITOR,PERFORMANCE,COMPLIANCE,ANALYSIS,SQL SERVER,ORACLE,SOFTWARE DEVELOPMENT,SOFTWARE DEVELOPMENT LIFECYCLE,DATABASE,SECURITY,MONITORING,COMPUTING,SQL,RELATIONAL,SAP,SOLID,PROJECT MANAGEMENT,PERFORMANCE TUNING,RELATIONAL DATABASES,MAINTENANCE,DATABASE DESIGN,DATABASES,DATABASE INTEGRITY,MONITOR,PERFORMANCE,COMPLIANCE,ANALYSIS",14,1,2024
Fox Corporation,"Los Angeles, CA",2024-01-14,Indeed,Web Development,1,,,,,,14,1,2024
Fox Corporation,"New York, NY",2024-01-14,Indeed,Devops Engineer,1,"DEVOPS,SECURITY,CI/CD,COLOR,API,STREAMING,COMPUTER SCIENCE,DNS,STACKS,SOFTWARE DEVELOPMENT,INSURANCE,ARTICULATE,SOURCE CONTROL,LOGGING,PERFORMANCE,SOFTWARE,SPARK","AWS,GCP,AZURE,LINUX,GITHUB,APACHE,NODE.JS,EC2,API,VPC,SPARK,CLOUD,CLOUDTRAIL","SPARK,GIT,LINUX","PYTHON,BASH,NODE.JS,JS,AWS,GITHUB,DOCKER,AZURE,APACHE,GCP,SPARK","GIT,DOCKER,GITHUB,NODE.JS,LINUX,DEVOPS,SOFTWARE DEVELOPMENT,API,SECURITY,MONITORING,STREAMING,PRODUCT MANAGEMENT,QUALITY ASSURANCE,MONITOR,PERFORMANCE,CLOUD,CENTOS",14,1,2024
Fraud.net,Remote,2024-01-14,Indeed,Frontend Developer,1,"AGILE,SCRUM,SECURITY,BIG DATA,APIS,STREAMING,E-COMMERCE,DATA SCIENCE,FACTORS,VISUALIZATIONS,ARTIFICIAL INTELLIGENCE,REST APIS,TESTING,WAS,ANALYTICS,SOFTWARE","S3,BOOTSTRAP,D3","VUE.JS,BOOTSTRAP,ANGULAR,GIT,JENKINS,POSTMAN,BIG DATA,ELASTICSEARCH","HTML,TYPESCRIPT,JS,ELASTICSEARCH","GIT,JENKINS,REDIS,POSTMAN,ELASTICSEARCH,REST APIS,ARTIFICIAL INTELLIGENCE,SECURITY,BIG DATA,ANALYTICS,STREAMING,SCRUM,AGILE,APIS,KANBAN,AGILE DEVELOPMENT,TESTING,DATA SCIENCE,DYNAMODB",14,1,2024
Frost Bank,"San Antonio, TX",2024-01-14,Indeed,Data Engineer,2,"AGILE,DATABASE,DATA MODELING,BIG DATA,CI/CD,COMPUTER SCIENCE,BUSINESS,MODELING,DATA PIPELINES,NOSQL,GOVERNANCE,HEALTH,SQL,DATA INGESTION,DATA WAREHOUSING,INSURANCE,DATA ENGINEERING,VERSION CONTROL,PERFORMANCE,ETL,SOFTWARE,SPARK,","HIVE,HADOOP,SPARK,CLOUD,","SPARK,HADOOP,BIG DATA,DATABASE,","SQL,PYTHON,JAVA,SCALA,HIVE,HADOOP,SPARK,","DATABASE,DATA WAREHOUSING,ETL,BIG DATA,NOSQL,SQL,DATA ENGINEERING,HIVE,AGILE,DATA MODELING,MONITOR,PERFORMANCE,GOVERNANCE,DATA INGESTION,DATA PIPELINES,CLOUD,",14,1,2024
